id,date,text,user,hashtags
45,2025-10-18,"Miren el populismo como dejó a #Bolivia todos éstos años de evo morales y sus secuaces #elecciones #ballottage #SegundaVuelta #balotaje @edufeiok","babyandi77","#Bolivia, #elecciones, #ballottage, #SegundaVuelta, #balotaje"
46,2025-10-18,"🔴#24hFdS | En Bolivia, mañana se celebra la segunda vuelta de sus elecciones presidenciales ▪️Los dos candidatos conservadores prometen un cambio de ciclo respecto al actual gobierno de izquierdas 🎙️Enviado especial a La Paz, @SBarnuevo  ▶️https://www.rtve.es/noticias/20251018/bolivia-busca-cambio-politico-solucion-peor-crisis-40-anos/16776269.shtml","radio5_rne","#24hFdS"
47,2025-10-18,"Carlos, en Bolivia se dice que si mañana gana Tuto Quiroga la segunda vuelta de las elecciones presidenciales, un avión de México está listo para llevarse al pedófilo y narcotraficante Evo Morales.","jrncolon",""
48,2025-10-18,"Bolivia decide, y podrás conocer todos los datos de la segunda vuelta a través de UNITEL. Sigue la transmisión en señal abierta y en todas nuestras redes sociales #Bolivia #elecciones https://unitel.bo/noticias/asi-decidimos/unitel-difundira-los-resultados-del-conteo-rapido-de-las-elecciones-a-las-2000-del-domingo-19-BF17742300","unitelbolivia","#Bolivia, #elecciones"
49,2025-10-18,"Como estalló kjjjjj no me lo esperaba. Bueno hago hilos de elecciones y el domingo vota Bolivia al que le pueda interesar. https://t.co/DgAFc0IWtd","FEscrutinio",""
50,2025-10-18,"Mañana hay elecciones presidenciales en Bolivia. En segunda vuelta se enfrentan el senador Rodrigo Paz Pereira, del Partido Demócrata Cristiano (PDC) que sacó un 32%, seguido por el expresidente Jorge “Tuto” Quiroga, de Alianza Libre, con un 27%. Por primera vez no hay ningún candidato de las estructuras criminales del socialismo del MÁS de Evo Morales y Luís Arce. Han desaparecido literalmente. Una noticia muy esperanzadora. Aunque persista el peligro del crimen organizado y las bases violentas indigenistas de las que se sirve.  Ahora las encuestas dan como favorito a Tuto Quiroga. Sea él o su rival, para sacar al país de su dramática situación necesitará toda la ayuda de las fuerzas democráticas y aliados anticomunistas internas y exteriores frente a las fuerzas criminales que tienen en Bolivia uno de los grandes productores de cocaína y fuente de ingresos del Foro de Sao Paulo y Grupo de Puebla, alianzas del narcosocialismo XXI.","hermanntertsch",""
51,2025-10-18,"Mañana tenemos elecciones en Bolivia y en Argentina,  Pero yo sigo en shock con el cisma De la Iglesia anglicana. Hay muchos vídeos en YouTube explicándolo y es gordo.","luisesgo",""
52,2025-10-18,"Análisis DEMOLEDOR de las elecciones en Bolivia (con Nehomar Hernández) https://www.youtube.com/watch?si=ENBGIzmPrS2B7fzF&v=_K0yIQjOGQ4&feature=youtu.be","riosmauricio",""
53,2025-10-18,"🇧🇴No somos conscientes del efecto mariposa colosal que van a provocar los resultados de las elecciones de mañana en la vida de una gran mayoría en este país. Para bien o para mal. #Bolivia","Jotace_bv","#Bolivia"
54,2025-10-18,"#Bolivia #OEA #Elecciones #Elecciones2025  @tutoquiroga #TutoQuiroga","mfinternacional","#Bolivia, #OEA, #Elecciones, #Elecciones2025, #TutoQuiroga"
