id,date,text,user,hashtags
50,2025-10-19,"#TCSN | Elecciones en Bolivia 🇧🇴 Urnas cerradas🗳️. La Organización de Estados Americanos, (OEA) pide a los candidatos y partidos esperar los resultados oficiales con “calma y prudencia”.  Esta es información #EnDesarrollo. #Bolivia2025 #Elecciones","tcsnoticias","#TCSN, #EnDesarrollo, #Bolivia2025, #Elecciones"
51,2025-10-19,"ELECCIONES EN BOLIVIA 🇧🇴  En media hora se sabrán los resultados de las elecciones.","Hegemony_News",""
52,2025-10-19,"🇧🇴🚨 Elecciones en Bolivia (0,47% escrutado) 🟢 Paz (PDC): 54,2% ⚫️ Quiroga (LIBRE): 45,8%","Informa3Chile",""
53,2025-10-19,"@grok quién está ganando o ganó las elecciones en Bolivia hoy?","SouthernVOID",""
54,2025-10-19,"Suspensión de Centros de Votación Marca la Segunda Vuelta de las Elecciones Presidenciales en Bolivia https://www.diariocontraste.com/2025/10/suspension-de-centros-de-votacion-marca-la-segunda-vuelta-de-las-elecciones-presidenciales-en-bolivia/","DCNhoy",""
55,2025-10-19,"Suspensión de Centros de Votación Marca la Segunda Vuelta de las Elecciones Presidenciales en Bolivia https://www.diariocontraste.com/2025/10/suspension-de-centros-de-votacion-marca-la-segunda-vuelta-de-las-elecciones-presidenciales-en-bolivia/","agenciaNDS",""
56,2025-10-19,"Suspensión de Centros de Votación Marca la Segunda Vuelta de las Elecciones Presidenciales en Bolivia https://www.diariocontraste.com/2025/10/suspension-de-centros-de-votacion-marca-la-segunda-vuelta-de-las-elecciones-presidenciales-en-bolivia/","DiarioContraste",""
57,2025-10-19,"#EN6 | Elecciones en Bolivia 🇧🇴 Urnas cerradas🗳️. La Organización de Estados Americanos, (OEA) pide a los candidatos y partidos esperar los resultados oficiales con “calma y prudencia”.  Esta es información #EnDesarrollo. #Bolivia2025 #Elecciones","elnoticiero_6","#EN6, #EnDesarrollo, #Bolivia2025, #Elecciones"
58,2025-10-19,"Comentando los resultados de las elecciones en Cadena A. Bolivia voto en paz y con mucho patriotismo. Ahora es tiempo de la alta política y la democracia.","GonzaloCHavezA",""
59,2025-10-19,"🚨🚨🚨ULTIMO MOMENTO ELECCIONES BOLIVIA🚨🚨🚨 🚨🚨🚨SE DECLARA FRAUDE EN FLORENCIO VARELA CON EL VOTO BOLIVIANO🚨🚨🚨","gordogordi11232",""
60,2025-10-19,"🇧🇴🗳 Bolivia, en la espera de los resultados de las elecciones presidenciales Los habitantes del país andino fueron convocados a las mesas de votación para elegir a quien será el próximo presidente del país, que dará fin a las dos décadas en el poder del Movimiento Al Socialismo. La jornada electoral transcurrió en calma, según reportaron las autoridades nacionales.","SputnikMundo",""
61,2025-10-19,"🚨| URGENTE: La derecha lidera en las elecciones presidenciales de Bolivia y puede poner fin a 20 años de izquierda comunista en el poder. 🇧🇴","eduardomenoni",""
